Store,weight,val_rmspe
194,0.995,0.11090601347304749
195,0.998,0.10245961954675203
196,0.999,0.07946167370953376
197,1.002,0.1033961623713959
198,0.996,0.14227286947940754
199,0.996,0.10556550278256661
200,0.993,0.11473148143340067
201,0.999,0.09954991936238206
202,0.998,0.11958273742781918
203,1.0,0.10204551008729454
204,1.0,0.08769767917100596
205,1.0,0.08683493606887809
206,0.999,0.12543630593496805
207,1.0,0.07630544308614405
208,1.0030000000000001,0.13521721164431572
209,1.004,0.12343651835886607
210,0.988,0.1003106283947752
211,1.008,0.10415311037746479
212,0.995,0.10550255407424765
213,0.996,0.11072691397267895
214,0.997,0.09335825634742653
215,0.99,0.1352440421518074
216,0.988,0.1078502299844248
217,1.0,0.09557059124794437
218,0.991,0.10757468926733098
219,0.998,0.11643346905608945
220,0.996,0.14128953135505048
221,1.001,0.09508528126686291
222,0.997,0.08492801231690088
223,0.999,0.11552385704931391
224,1.0,0.09689888005348449
225,0.998,0.12805999269739157
226,0.992,0.11092624389727523
227,1.0,0.09434078100745165
228,0.996,0.1054747241253044
229,0.997,0.0800603243100936
230,0.998,0.09775763897091229
231,0.991,0.1421875967690121
232,0.996,0.11833655427187317
233,1.001,0.09797978070528393
234,0.991,0.11059275249183827
235,0.992,0.09439087704034314
236,1.002,0.10193584979233772
237,0.998,0.09354137471918118
238,0.989,0.10734764340035514
239,0.997,0.11172730161714307
240,0.995,0.09582679400313517
241,0.996,0.10052809855828865
242,0.996,0.11408909774543641
243,0.992,0.11765714616372318
244,0.989,0.15360553369024182
245,1.0030000000000001,0.0780923553976821
246,1.001,0.09322175120590906
247,0.99,0.10883409518681109
248,0.999,0.11799262782669467
249,0.997,0.09507991564986541
250,0.994,0.09993183845624937
251,0.999,0.12478944546169776
252,0.998,0.09108420539520691
253,0.999,0.13737737973079187
254,0.989,0.15291487957978925
255,0.999,0.08280586664933692
256,0.988,0.16789927237190305
257,0.997,0.1106898994820667
258,0.993,0.11471283776582154
259,0.996,0.05903954890546403
260,0.997,0.07186811275888244
261,0.998,0.08768591955638551
262,1.0030000000000001,0.08932929290850906
263,1.001,0.08880671664142746
264,0.998,0.12482714234441504
265,1.001,0.13948588085403332
266,1.002,0.1179566020657699
267,1.0030000000000001,0.1469069988484624
268,0.992,0.10866102812222125
269,0.98,0.1867933550609676
270,1.005,0.068697943699754
271,0.993,0.13378660422807903
272,0.996,0.10794000646612079
273,1.0030000000000001,0.08784186047159669
274,1.02,0.15204554071089915
275,0.995,0.11680566374701923
276,0.992,0.10122354256928205
277,0.992,0.0901213355802984
278,0.998,0.10308040436627229
279,0.989,0.19676211741713956
280,0.998,0.07637087067158359
281,1.002,0.10666004519764867
282,1.0,0.07939049018581511
283,1.001,0.12831152948653882
284,0.993,0.11939885857387743
285,0.999,0.1080114931973944
286,0.984,0.10041480905382254
287,0.997,0.08675685708020933
288,0.989,0.13596585201856373
289,0.99,0.10320594662580525
290,0.998,0.1035576713787154
291,0.998,0.08749675338276088
292,0.98,0.9141817464384925
293,0.997,0.09323706031724958
294,1.0030000000000001,0.10226486032939706
295,1.005,0.11029858706867962
296,0.995,0.10537078359263362
297,1.0,0.09496085946183457
298,0.994,0.11409641924718504
299,1.0030000000000001,0.12146468094698896
300,0.994,0.13181049218284147
301,1.001,0.08741045608450693
302,0.994,0.14192829768094498
303,0.99,0.12030529180890705
304,0.995,0.08983640272818162
305,0.997,0.09631019648098758
306,1.001,0.08807652235941928
307,0.996,0.13478437890731215
308,0.999,0.12570501181679733
309,0.993,0.09352117114267804
310,1.002,0.11194579210342152
311,1.0,0.09596375734294865
312,0.995,0.10395465432234413
313,0.996,0.10924959471408287
314,0.994,0.10846462378631638
315,0.997,0.10621882216157512
316,1.001,0.09101949897762979
317,0.999,0.10943053451874606
318,1.0,0.1116167883348667
319,0.994,0.10067863740448711
320,1.004,0.1168569068437401
321,0.998,0.1112470843417411
322,1.0,0.096061271776845
323,0.997,0.08692297908926545
324,0.988,0.13577961246714723
325,0.993,0.1453097135991314
326,0.996,0.09291359745123039
327,0.997,0.12176054746317996
328,0.998,0.10096459054014238
329,0.993,0.10029520522585414
330,0.987,0.13616531636857498
331,1.001,0.10267783008078446
332,0.996,0.06788333222096954
333,1.001,0.10814064387084872
334,0.991,0.09622799228103336
335,0.998,0.12695182494220592
336,1.0,0.10684756177097006
337,1.002,0.10568078658913202
338,0.995,0.12053767549454308
339,0.996,0.1392228578498042
340,1.0,0.0986203945139901
341,0.999,0.10060137818754918
342,1.0,0.09494365419061082
343,0.995,0.12227666969967188
344,1.004,0.11319790009269794
345,0.988,0.1479676364629034
346,1.004,0.09925402260020191
347,0.998,0.12436122573965074
348,0.99,0.15080269543126948
